id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
tm1159926,Pawankhind,MOVIE,The story of the Maratha Warriors at the battle of Pavan Khind in 1660.,2022,,153,"['action', 'drama', 'history']",tt14448632,9.9
ts231725,Water Helps the Blood Run,SHOW,"Five orphan girls from diverse backgrounds, carrying their own personal ""baggage"", must learn how to become a family with their newly adopted ""Parent"", who's own personal ""baggage"" makes needing these girls more important than life itself.",2019,,29,"['drama', 'comedy']",tt11524214,9.7
ts304299,Couple of Mirrors,SHOW,"You Yi is a young, innocent, and kind-hearted socialite and a successful author, living with everyone's adoration and envy. Her perfect life is turned upside-down when she discovers a betrayal by the two most trusted people in her life. With no one left to turn to, she finds refuge in the friendship and support of Yan Wei, a young photographer with a cold personality. Unbeknownst to all, Yan Wei has a deadly secret identity.",2021,,46,"['drama', 'romance', 'crime']",tt15509598,9.5
ts86600,The Chosen,SHOW,The life of Christ through the eyes of those who encountered him called The Chosen.,2019,TV-G,47,"['drama', 'history']",tt9471404,9.4
tm1167998,Tari Sathe,MOVIE,The story revolves between two youngsters who are at the age of getting married. The girl seeks to meet the boy with a wish of a denial. On the other end boy with positive mindset without revealing his original identity.,2021,,119,"['drama', 'family']",tt13181612,9.4
ts151280,Subaru Launch Control,SHOW,Go behind closed doors with Subaru Motorsports USA as they chase the American Rally and Rallycross championships. This is everything it takes to win. This is everything that gets in the way of victory.,2013,,21,['sport'],tt3923326,9.3
tm1062504,Pazhagiya Naatkal,MOVIE,,2021,,127,['drama'],tt14747784,9.3
tm1108724,Jai Bhim,MOVIE,"A pregnant woman from a primitive tribal community, searches desperately for her husband, who is missing from police custody. So as to find her husband and seek justice for them, as their voice, a High Court advocate rises in support. Will their battle for justice succeed?",2021,,164,"['drama', 'crime']",tt15097216,9.3
ts77883,Surgeons: At the Edge of Life,SHOW,"Documentary series going beyond the theatre doors of Queen Elizabeth Hospital Birmingham, where surgeons push medical boundaries to the limits.",2018,,59,['documentation'],tt7860280,9.2
tm810763,Soorarai Pottru,MOVIE,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",2020,,149,"['drama', 'action']",tt10189514,9.2
tm827416,Alexander Babu: Alex in Wonderland,MOVIE,"This is Alex’s first solo standup special. This 120-minute show will include his typical rib-tickling and knee-slapping comedy and plenty of music and Tamil. Being passionate about music, Alex steals every opportunity to sing and play his musical instruments. Alex draws from his varied life experiences from growing up in a village in Tamil Nadu to working in corporate America, and brings unique colors to his acts. In this show, his insane optimism towards life will rub off on to you, and he will connect you with your own wonderland. A wonderful show that you can take your children, parents, elders and neighbors along and sit together and watch. The show is wholesome and clean and is 7+.",2019,,136,['comedy'],tt10810900,9.2
ts17223,Free to Choose,SHOW,"Free to Choose is a ten-part television series broadcast on public television by economists Milton and Rose D. Friedman that advocates free market principles. It was primarily a response to an earlier landmark book and television series: The Age of Uncertainty, by the noted economist John Kenneth Galbraith. Milton Friedman won the Nobel Memorial Prize in Economics in 1976.",1980,,57,['documentation'],tt0852785,9.2
tm178182,A Promise to My Father,MOVIE,"We re-trace the steps of Holocaust survivor Israel Arbeiter as he returns to Poland and Germany for the final time to look for items buried in 1939 in the basement of his old home in Plock, Poland as the German army advanced. We also travel with ""Izzy"" to Treblinka death camp where his parents and younger brother were murdered and to other camps, most notably Auschwitz-Birkenau, where ""Izzy"" used the motivation of his father's final words to him to stay alive.",2013,,56,['documentation'],tt7516502,9.2
tm574428,King B.'s Roost 1-2,MOVIE,Chicago Mafia Hit Man Alex Sims finds himself on the wrong end of the gun in this story about a hit man that gets hit by his own organization.,2008,,62,['crime'],tt4058628,9.2
tm1134954,Tom and Jerry,MOVIE,"Two friends who live with different perspectives of life, always fight, but are never apart.",2021,,151,['romance'],tt15767718,9.2
tm1014233,Strictly for the Streets: Vol 1.,MOVIE,,2021,,69,['drama'],tt13879704,9.2
tm905419,Quota,MOVIE,"""Quota"" is all about the underprivileged children with families whose dues are yet a question in the society.",2020,G,101,"['family', 'drama']",tt12077850,9.2
ts83241,Harmony with A. R. Rahman,SHOW,"Harmony with A.R Rahman' is a curated exploration of the past and future of Indian music through the eyes of A. R. Rahman. India’s rich musical heritage is viewed through the prism of four specially curated instruments and vocal traditions, selected in order to represent the geographic and historic diversity of the country. The series will examine the traditions, the musicians and the locations.",2018,,43,['documentation'],tt8836898,9.1
tm1021576,The Adventures of Major Miracle,MOVIE,A Young Boy struggles to put his life back together through creating a sci-fi film.,2020,,71,['family'],tt14044712,9.1
tm546268,Toxification,MOVIE,"Toxification of land, body and mind examines the plight of Punjabi farmers through their own personal stories, with the perspectives of authorities and academics.",2020,,66,['documentation'],tt5495060,9.1
tm134266,Steven Banks: Home Entertainment Center,MOVIE,"In this brilliant one-man show, the mild-mannered, thirty-something Steven Banks arrives home after a long day at his dead-end corporate job, still dreaming of being a rock star. Steven receives a message on his machine from his boss, Mr. Buttle, informing him that he never received an urgent speech Steven wrote for the board of directors. Steven must scramble to write a new one, but he has less than an hour to do it. Along the way, he continually procrastinates and distracts himself from the task at hand, playing with toys and various musical instruments, baking cookies, putting on costumes, leafing through an old high school yearbook and performing some hilarious original songs along the way. Meanwhile, he's got to deal with his grumpy landlord Mr. Mescue, his clingy girlfriend Phoebe and even a broken toilet. Will Steven ever finish his speech? Or does fate have something else in mind for him?",1989,,60,['comedy'],tt0443654,9.1
ts296021,Clarkson's Farm,SHOW,"Follow Jeremy Clarkson as he embarks on his latest adventure, farming. The man who on several occasions claims to be allergic to manual labour takes on the most manually labour intensive job there is. What could possibly go wrong?",2021,TV-PG,48,"['reality', 'documentation', 'comedy']",tt10541088,9.1
tm244275,Peranbu,MOVIE,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",2019,,147,['drama'],tt7738784,9.1
ts166066,L.A. Frock Stars,SHOW,"Series is a window into the world of high-end vintage fashion. Focuses on the doyenne of Hollywood vintage, Doris Raymond, and her Los Angeles store The Way We Wore.",2013,TV-PG,32,['reality'],tt2525446,9.0
ts154229,James Martin: Home Comforts,SHOW,James Martinlives to cook. And there's nowhere in the world he'd rather be than his own kitchen. It's here that he can get away from the high-pressure of being a top chef and cook the dishes he really loves.,2014,,44,['documentation'],tt3615474,9.0
ts44797,Bogyó és Babóca,SHOW,"Berry the snail and Dolly the ladybird are best friends ever. In the 13 new tales, they have lots of new adventures while they're making new friends and finding out about the world around them. The tales are instructive, teaching how to love and help each other, how to be smart and sympathetic. The imagery and language are easily understood by even the smallest children.",2010,,7,['animation'],tt12540004,9.0
tm824343,Last Days,MOVIE,"A widow struggling to make ends meet is diagnosed with breast cancer. She raises the necessary funds to undergo the required procedure to treat the cancer, but she experiences a re-occurrence of the ailment and begins to question her faith.",2019,,146,['drama'],tt8633882,9.0
tm485428,Gho Gho Rani,MOVIE,Based on women empowerment. Principal of ranker's collage narrating a story to his student's regarding Santanu's welfare.,2019,,105,"['history', 'romance']",tt9643832,9.0
tm534441,Cura Brochero,MOVIE,"Córdoba, Argentina, 2013. Everyone gets ready to participate in Cura Brochero's beatification. Santiago is a 55-year-old independent producer who is about to make a film (with scarce funds) about Cura Brochero's life. Luciano is a 40-year-old actor who leads a miserable, hectic life marked by excesses and weaknesses. Their stories get intermingled when Luciano accepts, out of necessity, a proposal to take part in this movie project and is asked to play Cura José Gabriel Brochero. As the film develops, the life and personal examples of Brochero, The Cura Gaucho, will constantly exhort Luciano's current lifestyle and mindset to be revised, which leads to a crisis in his innermost nature that will force him to reconsider several aspects of his life. At the end of the movie, Luciano decides to take up the Spiritual Exercises recommended by Brochero as a means to change a person's life. The film, produced by Maranatha Civil Association, is a fiction movie that thoroughly narrates The Cura Gaucho's life resorting to Luciano and Santiago's stories. Through this ""film within a film"", the producer clearly shows us how the ideals and human values of great men like Brochero can transform and improve our lives.",2016,,120,[],tt6154266,9.0
ts102921,Corazón Contento,SHOW,"This series frames 3 Mexican families from different regions, the southern from Merida, the Northerns from Monterrey and the middle of the country by a Mexico city family. All 3 families have one thing in common: ""obesity and bad health habits'...all of which is depicted in a funny way to show how the consequences of these bad habits bite on their lives in all sort of ways. Is a fun thing to whatch, but not with the little ones as several society diseases are brought in to the screen.",2018,,27,"['comedy', 'drama']",tt9495714,9.0
tm1086831,#Home,MOVIE,"The humble, technology-challenged Oliver Twist struggles to keep close with his sons as they grow up and become active on social media.",2021,,162,"['drama', 'family']",tt10534500,9.0
tm1078489,The Mission,MOVIE,"TC wakes up with no recollection of what happened the night before. All she can do is hope her friends can help her. Now, she's on a mission to find out what happened to the Money and The Bag.",2021,,63,"['music', 'animation', 'action', 'comedy', 'drama', 'fantasy']",tt15011112,9.0
tm552325,Unity: The Latin Tribute to Michael Jackson,MOVIE,This unique musical tribute to the King of Pop features over 40 musicians and artists from around the world uniting on stage to perform Latin-infused arrangements of 10 Michael Jackson classic songs.,2015,,54,['music'],tt5100358,9.0
ts289376,Elzaz,SHOW,A young Wizard explores the highs and lows of the mortal dating world to learn how to embrace his true self and find his perfect match.,2021,,20,"['comedy', 'fantasy']",tt13799306,8.9
tm1122258,The Gift of Grace,MOVIE,"The Gift of Grace is a story about a married couple, William Ward (Benjamin Jones) and Cynthia Ward (Blaque Pearl) that's been married for 10 years, they have been through a lot in that time and have faced the struggles that all couples do, they are overflowing with love for their two young girls Parker and Rayne but are they ready for what happens when the love for each other runs dry. William has climbed the corporate ladder and Cynthia is focused on building the Parker and Rayne clothing line, they work hard but their attention is called to very different areas of their lives. Find out what happens when these tensions collide.",2021,,120,['drama'],tt15576032,8.9
ts223059,The Test: A New Era for Australia's Team,SHOW,"A docuseries following the Australian Men’s Cricket Team, offering a behind-the-scenes look at how one of the world’s best cricket teams fell from grace and was forced to reclaim their title and integrity.",2020,TV-14,52,"['drama', 'sport', 'documentation']",tt11347692,8.9
ts250113,My Greatest Dishes,SHOW,"Twenty exceptional chefs share the secrets of the four extraordinary dishes that tell the story of their lives, from childhood challenges to the peak of culinary fame.",2019,,21,['documentation'],tt12493196,8.9
tm374784,Une Infinie Tendresse,MOVIE,"French documentary on the world of a brain-damaged, physically-handicapped child confined to a wheel chair, unable to speak but trying desperately to communicate with his nurse and the other children in the hospital. It chronicles his friendship with another youngster even more crippled than himself, their joy in being together, their little spats and, finally, the termination of their friendship by death. Directed by Pierre Jallaud, it is a remarkable achievement, treating its subject creatively yet with complete integrity. There is no commentary, no dialogue, only the natural sounds of the children and their environment.",1968,,92,[],tt0294645,8.9
tm770081,Mitzi... Zings Into Spring,MOVIE,"In this musical salute to Spring, Mitzi Gaynor is joined by country music star Roy Clark (Hee Haw), actor Wayne Rogers (MASH) and the US Olympic Gymnastics Team for a colorful tribute in song, dance and comedy sketches to the earth's season of renewal. Songs include ""You Make Me Feel Like Dancing,"" ""Isn't it Romantic,"" and ""Yankee Doodle Dandy.""",1977,,58,"['music', 'comedy']",tt0327047,8.9
ts75732,Owlegories,SHOW,"Owlegories is an animated series that follows a group of student owls as they travel on adventures learning about nature, faith, and God!",2015,,15,['animation'],tt3543962,8.9
tm494118,The Friendliest Town,MOVIE,"The first black police chief of a small racially divided town lowered crime with community style policing. But after he was abruptly fired, the battle over why he was let go raised the consciousness of the town's black population",2019,PG-13,77,['documentation'],tt9038854,8.9
tm1174803,Old Monk,MOVIE,"　　Old Monk is Kannada means ""Hale Sanyasi"". Naaradha disturbs Krishna when he's been making love. Hence Krishna punishes Naarada to live on earth as a normal human being. What happens after Naaradha lands on earth is a plot watch for.",2022,,129,"['comedy', 'romance']",tt11791964,8.9
tm969209,A Father's Fight,MOVIE,"Hitting rock bottom, an aging boxer's (Bo Lawson) rivalry within himself restores his vitality with hopes of retraining to fight for what matters most.",2021,,92,"['sport', 'action', 'drama', 'family']",tt12605348,8.9
ts55428,"The Long, Long Holiday",SHOW,"The daily life of 2 kids brother and sister, who are left by their parents at their grandparents’ house near the Normandy coast for a few weeks at the beginning of World War II. As the war rumbles on, those weeks become five years.",2015,TV-PG,26,"['drama', 'family', 'war', 'animation', 'european']",tt4641870,8.9
tm139219,Florence Foster Jenkins,MOVIE,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.",2016,PG-13,110,"['drama', 'crime', 'music', 'comedy']",tt4136084,8.9
ts37645,Nathan For You,SHOW,"Self-proclaimed business expert, writer, director and comedian Nathan Fielder helps real small businesses turn a profit with marketing tactics that no ordinary consultant would dare to attempt. From driving foot traffic to an off-the-strip souvenir shop by using Hollywood flair and a Johnny Depp impersonator, to creating a rebate that can only be redeemed by climbing a mountain, to founding a coffee shop called ""Dumb Starbucks,” Nathan has always gone to the limit to make his ideas come to life. With his unorthodox approach to problem solving, Nathan’s genuine efforts to do good often draw the real people he encounters into an experience far beyond what they signed up for.",2013,TV-14,25,"['comedy', 'documentation']",tt2297757,8.9
ts44135,Great Canal Journeys,SHOW,"To celebrate their golden wedding anniversary, actors Timothy West and Prunella Scales embark on four spectacular canal journeys, sharing a passion that they've enjoyed for decades. To start the series, Tim and Pru revisit the Kennet and Avon Canal in the West Country. Back in 1990, to promote the fully restored canal, Tim and Pru were invited to be the first boat in 42 years to travel the full length of the K&A. Almost a quarter of a century later, they navigate the 21 miles along its most picturesque stretch, starting in Bath and ending in Devizes.",2014,,49,['documentation'],tt3578112,8.8
ts95801,Alien Monkeys,SHOW,"Alien Monkeys is story about two monkeys exploring the world together with unexpected musical adventures. Oki is full of curiosity about everything on Earth and Taki is determined to find a bottle of ""Earth soda"". Surprisingly, they create fantastic musical performances while they are making trouble.",2015,,9,['animation'],tt7821974,8.8
tm34871,Chocolate,MOVIE,"Zen, an autistic teenage girl with powerful martial arts skills, gets money to pay for her sick mother Zin's treatment by seeking out all the people who owe Zin money and making them pay.",2008,R,93,"['comedy', 'documentation', 'romance', 'drama', 'action']",tt1183252,8.8
ts237536,Panchayat,SHOW,"Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a panchayat office in a remote village of Uttar Pradesh. Stuck between crazy villagers and a difficult village lifestyle Abhishek starts his job with the sole motivation of getting out of there as soon as possible, for which he even prepares for CAT.",2020,TV-14,30,"['drama', 'comedy']",tt12004706,8.8
ts76483,Buzzfeed Unsolved: True Crime,SHOW,Hosts Ryan & Shane discuss mysteries surrounding notorious unsolved crimes.,2016,TV-14,21,"['crime', 'documentation', 'comedy', 'horror']",tt7194764,8.8
ts305055,Akedo: Ultimate Arcade Warriors,SHOW,"Jet, Bria and Cub are determined to become legends in the Akedo Championships. They do their best to level up their skills to reach their goal.",2021,,6,['animation'],tt15156702,8.8
ts215683,The Untamed,SHOW,"In a land dominated by the mighty Wen clan, a young man named Wei Wuxian strikes up an unconventional friendship with justice-loving Lan Wangji. When the duo unexpectedly stumbles across evidence implicating the Wen clan’s chief in a plot to bring mayhem to the inhabitants of their land, Wei Wuxian and Lan Wangji decide to intervene. However, the pair’s attempts to foil the Wen clan boss’s wicked plans go wrong. In the confusion that follows, Wei Wuxian disappears – with many fearing the worst for him. Sixteen years later, Wei Wuxian returns out of the blue. He is soon reunited with Lan Wangji, just as a spate of mysterious murders has broken out. The duo joins forces once more to investigate, determined not to fail this time… Can the pair get to the bottom of the intrigue? Will they solve the murder cases? And just who is the dastardly secret figure pulling the strings behind the evildoings now blighting the land?",2019,TV-14,44,"['action', 'comedy', 'romance', 'drama', 'fantasy', 'horror']",tt10554898,8.8
ts131586,Tomorrow's Joe 2,SHOW,"Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering.",1980,,24,"['drama', 'sport', 'animation', 'action']",tt5765272,8.8
ts90311,Vinland Saga,SHOW,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",2019,TV-MA,24,"['action', 'animation', 'drama', 'history']",tt10233448,8.8
ts235770,Winter Begonia,SHOW,"A story that revolves around a Peking opera performer and a wealthy businessman who are brought together by their love for Peking opera.

Set in the 1930's, it follows Shang Xirui, a Peking opera performer who relies on his exceptional talent to gain fame in Beiping. Being an outsider, he faces opposition from the locals but doesn't relent nor give up in fulfilling his dreams to promote Peking opera. As he pours himself into mastering the art, wealthy businessman Cheng Fengtai becomes deeply captivated after watching a performance for the first time. He makes acquaintance with Shang Xirui and becomes an avid supporter. Through Cheng Fengtai's help, Shang Xirui builds Shui Yun Lou and trains a new troupe. When the Japanese army invade Beiping in 1937 and patriotic men and women take up arms to fight, Shang Xirui and Zhu Fengtai are moved to make sacrifices for their country",2020,,46,"['drama', 'romance', 'war', 'history', 'music']",tt12003266,8.8
ts109074,Fundamentally Cynical,SHOW,"Fast paced show that revolves around a moronic camp councilor, named Lizard Boy, and a group of highly cynical campers. LB is the main councilor at, ""Camp Dingle-dork"" which is owned by an eccentric and reclusive millionaire by the same name.",2019,TV-14,3,"['animation', 'scifi']",tt8647660,8.8
