id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
ts84270,Bluey,SHOW,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.",2018,TV-Y,7,"['animation', 'family']",tt7678620,9.7
ts280148,The Wizard of Paws,SHOW,"Derrick Campana of Bionic Pets makes prosthetics for animals. He has treated over 25,000 animals including dogs, cats, sheep, goat, llama and a few elephants. Each episode tells two of these stories. One is told during a family's appointment at his office. In the second story, he and his dog Henry travel to the home of a different patient where he uses his mobile workshop to help that animal walk again.",2020,,22,"['family', 'reality']",tt13897634,9.4
ts301931,Cosmos: A Spacetime Odyssey,SHOW,An exploration of our discovery of the laws of nature and coordinates in space and time.,2014,TV-PG,43,['documentation'],tt2395695,9.3
ts301932,Cosmos: Possible Worlds,SHOW,"Following the wildly successful ""Cosmos: A Spacetime Odyssey,"" Neil deGrasse Tyson returns as host to translate more revelations of science into a lavish transporting experience, taking audiences on a series of spiritual voyages of exploration. The show reveals previously uncharted realms, including lost worlds, worlds yet to come, and the worlds that humans may one day inhabit. Ann Druyan, original creative collaborator to Carl Sagan, whose iconic docuseries ""Cosmos"" provided inspiration for this series, serves as executive producer alongside Seth MacFarlane.",2020,TV-PG,43,"['documentation', 'drama', 'thriller', 'scifi']",tt11170862,9.1
ts238237,Alaska Animal Rescue,SHOW,"Dedicated first responders, veterinarians and animal caretakers from the Alaska SeaLife Center, the Alaska Raptor Center and the Alaska Wildlife Conservation Center brave dangerous terrain and unforgiving climates to respond to animals in need.",2020,,44,"['reality', 'documentation']",tt12188528,9.0
ts299852,The Beatles: Get Back,SHOW,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',2021,,156,"['documentation', 'music']",tt9735318,9.0
ts301923,The Hatcher Family Dairy,SHOW,"The Hatcher family continues to operate a 175-year-old dairy farm in College Grove, Tenn.",2021,,44,['documentation'],tt15058696,8.9
tm1168196,ASSEMBLED: The Making of Hawkeye,MOVIE,"Join the likes of Jeremy Renner, Hailee Steinfeld, Florence Pugh, and Vincent D’Onofrio as they reveal how Marvel Studios’ “Hawkeye” was conceived and created. Witness firsthand what it took to pull off the show’s pulse-pounding action set pieces, and discover how iconic characters from the pages of Marvel Comics such as Kate Bishop were adapted and brought to life for the six-episode series.",2022,PG-13,59,['documentation'],tt14235904,8.8
ts331520,Something Bit Me!,SHOW,"The series explores the peculiar true stories of bug bites, insect stings and animal attacks that have sent people to the ER.",2022,TV-14,43,"['documentation', 'reality']",tt18334866,8.8
ts225082,"Heartland Docs, DVM",SHOW,"In picturesque rural Nebraska, the husband and wife veterinary team of Drs. Ben and Erin Schroeder cares for the region's many animals in need.",2020,TV-PG,44,['reality'],tt11783490,8.8
ts235499,Critter Fixers: Country Vets,SHOW,Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.,2020,TV-14,44,"['family', 'documentation']",tt11929804,8.7
ts84392,The Mandalorian,SHOW,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",2019,TV-14,40,"['scifi', 'action', 'fantasy']",tt8111088,8.7
ts286382,Secrets of the Zoo: Tampa,SHOW,Embrace the wild side of the Sunshine State with a stellar zoo team devoted to the exotic cast of animals.,2020,TV-14,44,"['documentation', 'family']",tt11708046,8.7
ts20711,The Simpsons,SHOW,The satiric adventures of a working-class family in the misfit city of Springfield.,1989,TV-14,27,"['animation', 'comedy']",tt0096697,8.7
ts77420,One Strange Rock,SHOW,"A mind-bending, thrilling journey exploring the fragility and wonder of planet Earth, one of the most peculiar, unique places in the entire universe, brought to life by the only people to have left it behind – the world’s most well known and leading astronauts.",2018,TV-G,47,['documentation'],tt7651892,8.7
tm2,The Empire Strikes Back,MOVIE,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980,PG,124,"['scifi', 'action', 'fantasy']",tt0080684,8.7
ts34163,The Incredible Dr. Pol,SHOW,"Set in Central Michigan's farm country, this reality series follows the work done at Pol Veterinary Services. Specializing in large farm animals, Dr. Pol treats horses, pigs, cows, sheep, alpacas, goats, chickens and even an occasional reindeer. The program also features Dr. Brenda Grettenberger, who has worked with Dr. Pol since 1992.",2011,TV-PG,44,"['reality', 'documentation']",tt2136396,8.6
ts21903,Marvel's Daredevil,SHOW,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,2015,TV-MA,53,"['action', 'crime', 'drama', 'thriller', 'fantasy', 'scifi']",tt3322312,8.6
tm1,Star Wars,MOVIE,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977,PG,125,"['scifi', 'action', 'fantasy']",tt0076759,8.6
ts43178,Marvel's The Punisher,SHOW,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,2017,TV-MA,53,"['crime', 'action', 'scifi', 'drama', 'thriller']",tt5675620,8.5
ts271431,Into the Unknown: Making Frozen II,SHOW,"The team behind Frozen II open their doors to cameras for a six-part documentary series to reveal the hard work, heart, and collaboration it takes to create one of the most highly-anticipated films in Walt Disney Animation Studios’ near-century of moviemaking. Cameras were there to capture an eye-opening - and at times jaw-dropping - view of the challenges and the breakthroughs, the artistry, creativity and the complexity of creating the #1 animated feature of all time.",2020,TV-PG,36,"['documentation', 'family']",tt10196382,8.5
ts22158,X-Men,SHOW,"The X-Men are an elite team of mutants, genetically gifted human beings with superpowers, sworn to fight for mutant rights against hostile Government agencies, whilst at the same time protecting mankind from mutant supremacist Magneto who seeks to destroy the human race in return for the atrocities committed against mutant kind.",1992,TV-Y7,22,"['scifi', 'thriller', 'animation', 'action', 'family']",tt0103584,8.5
tm113629,The Lion King,MOVIE,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",1994,G,89,"['drama', 'family', 'animation']",tt0110357,8.5
ts251844,Secrets of the Whales,SHOW,"Sigourney Weaver guides viewers on a journey to the heart of whale culture to experience the extraordinary communication skills and intricate social structures of five different whale species. With the help of new science and technology, viewers witness whales making lifelong friendships, teaching clan heritage and traditions to their young and grieving deeply for the loss of loved ones.",2021,TV-PG,48,['documentation'],tt12824750,8.5
ts26491,Wild Russia,SHOW,"Through unprecedented access we showcase the spectacle that is Wild Russia. From east to west, via mountains, volcanoes, deserts, lakes and Arctic ice, this breathtaking six-part series uses stunning cinematography to chart the dazzling natural wonders of this vast country.",2008,TV-PG,44,"['documentation', 'european']",tt1489868,8.4
tm25151,WALL·E,MOVIE,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",2008,G,98,"['scifi', 'family', 'fantasy', 'romance', 'animation']",tt0910970,8.4
ts254529,Meet the Chimps,SHOW,"The series takes viewers into the secret life of one of the largest and most unique wildlife sanctuaries in the world – Chimp Haven—a 200-acre refuge tucked deep in the forested heart of Louisiana, which is home to more than 300 chimpanzees.",2020,TV-14,37,['documentation'],tt11853160,8.4
tm220546,Coco,MOVIE,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017,PG,109,"['animation', 'fantasy', 'comedy', 'drama', 'family', 'music', 'european']",tt2380307,8.4
ts92367,Rocky Mountain Animal Rescue,SHOW,The extraordinary staff at the Humane Society of the Pikes Peak Region risk their lives and give their hearts to save all animals big and small.,2018,,38,['documentation'],tt9395780,8.4
tm591,Avengers: Infinity War,MOVIE,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018,PG-13,150,"['scifi', 'action', 'fantasy']",tt4154756,8.4
tm327916,Newsies,MOVIE,"The rousing tale of Jack Kelly, a charismatic newsboy and leader of a ragged band of teenaged 'newsies,' who dreams only of a better life far from the hardship of the streets. When publishing titans raise distribution prices at the newsboys' expense, Jack finds a cause to fight for and rallies newsies from across the city to strike and take a stand for what's right.",2017,PG,134,"['drama', 'music']",tt6346162,8.4
ts21709,Spider-Man,SHOW,"Bitten by a radioactive spider, Peter Parker develops spider-like superpowers. He uses these to fight crime while trying to balance it with the struggles of his personal life.",1994,TV-Y7,21,"['action', 'family', 'romance', 'crime', 'drama', 'fantasy', 'animation', 'scifi', 'thriller']",tt0112175,8.4
tm439596,Hamilton,MOVIE,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",2020,PG-13,160,"['drama', 'history', 'music']",tt8503618,8.4
ts267890,Disney Gallery / Star Wars: The Mandalorian,SHOW,"Executive producer Jon Favreau invites the cast and crew of The Mandalorian to share an unprecedented look at the making of the series. Each chapter explores a different facet of the first live-action Star Wars television show through interviews, never-before-seen footage, and roundtable conversations hosted by Favreau himself.",2020,TV-PG,33,['documentation'],tt12162902,8.4
tm1855,Avengers: Endgame,MOVIE,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019,PG-13,181,"['scifi', 'fantasy', 'action', 'drama']",tt4154796,8.4
ts20967,So Weird,SHOW,"Fourteen-year-old Fi Phillips investigates the paranormal while touring the country in a bus with her widowed rock-star mom and her skeptical brother, Jack. At the beginning of Season 3, Fi passed the job of case cracker to a songbird named Annie",1999,TV-PG,24,"['scifi', 'family', 'thriller']",tt0169247,8.4
ts38704,"Dr. Oakley, Yukon Vet",SHOW,"Spanning thousands of acres and incorporating hundreds of species of animals; Michelle Oakley’s veterinary practice is Yukon tough. There is no such thing as a typical day in Michelle’s practice. House calls can range from expelling dogs anal glands to getting chased down by the very large Arctic musk-ox. Accompanied by her teenage daughters and armed with humor as sharp as scalpel, Michelle deftly juggles being a full time Veterinarian, wife and doctor; taking us into unexplored and unexamined regions of the Yukon.",2014,TV-PG,44,['reality'],tt3593456,8.4
ts22470,The Muppet Show,SHOW,Go behind the curtains as Kermit the Frog and his muppet friends struggle to put on a weekly variety show.,1976,TV-G,25,"['comedy', 'family', 'music']",tt0074028,8.4
ts1,Star Wars: The Clone Wars,SHOW,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",2008,TV-PG,23,"['scifi', 'action', 'animation', 'drama', 'fantasy']",tt0458290,8.4
tm1092922,The Rescue,MOVIE,"A chronicle of the enthralling, against-all-odds story that transfixed the world in 2018: the daring rescue of twelve boys and their coach from deep inside a flooded cave in Northern Thailand.",2021,PG,107,"['action', 'thriller', 'drama', 'documentation']",tt9098872,8.4
ts302664,Unknown Waters with Jeremy Wade,SHOW,Jeremy Wade travels the world’s most remote & unexplored rivers to search for the biggest & strangest creatures in their underwater worlds.,2021,,44,['documentation'],tt17890420,8.4
ts271728,The Wild Life of Dr. Ole,SHOW,"Dr. Ole Alcumbrac owns White Mountain Animal Hospital, a full-service animal clinic in Pinetop, Arizona, that cares for everything from cats and dogs to exotics and large animals. But this self-described 'wild man' isn't your typical veterinarian, and it's his work outside of the clinic that excites him most.",2021,TV-PG,44,"['documentation', 'reality']",tt14232200,8.4
ts88128,Secrets of the Zoo,SHOW,"With nearly 6,000 veterinary cases and well over 100 births each year, the team at the Columbus Zoo has no shortage of incredible drama.",2018,TV-PG,43,"['reality', 'documentation']",tt19868152,8.3
tm153612,Up,MOVIE,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",2009,PG,96,"['comedy', 'drama', 'family', 'animation']",tt1049413,8.3
tm977575,Folklore: The Long Pond Studio Sessions,MOVIE,"An intimate concert film, in which Taylor Swift performs each song from her album 'folklore' in order, as she reveals the meaning and the stories behind all 17 tracks for the very first time.",2020,PG,106,"['documentation', 'music', 'drama']",tt13524234,8.3
ts22052,Phineas and Ferb,SHOW,"Each day, two kindhearted suburban stepbrothers on summer vacation embark on some grand new project, which annoys their controlling sister, Candace, who tries to bust them. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",2007,TV-G,21,"['scifi', 'family', 'animation', 'action', 'comedy']",tt0852863,8.3
ts252829,Snowdrop,SHOW,"A desperate love story between Youngro, a youthful female freshman student, and Sooho, a prestigious but mysterious university graduate, who one day jumps into her room, at a women's university dormitory, covered in blood from running away of a dangerous situation. Despite the strict surveillance, she helps him on hiding and healing which develops their relationship that goes against the tragic era of 1987 in Seoul.",2021,TV-14,85,"['war', 'thriller', 'crime', 'drama', 'romance']",tt13304700,8.3
ts3533,The Avengers: Earth's Mightiest Heroes,SHOW,"When the powers of a single hero are not enough to save the world, the world’s greatest heroes—Iron Man, Thor, Captain America, The Hulk, Ant-Man/Giant Man and Wasp—assemble to form the Avengers.",2010,TV-Y7,24,"['scifi', 'animation', 'action', 'family']",tt1626038,8.3
