id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
ts17149,Band of Brothers,SHOW,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",2001,TV-MA,59,"['war', 'drama', 'history', 'action']",tt0185906,9.4
ts88632,Chernobyl,SHOW,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,2019,TV-MA,65,"['drama', 'history', 'thriller', 'documentation']",tt7366338,9.4
ts22047,The Wire,SHOW,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",2002,TV-MA,59,"['drama', 'thriller', 'crime']",tt0306414,9.3
ts235382,Lamput,SHOW,"A clever orange nutcase, Lamput, escapes from a hidden laboratory, thus sending scientists Slim Doc and Fat Doc in a frenzy as they try hard to capture him. However, Lamput always manages to escape.",2017,,3,"['comedy', 'animation']",tt11958376,9.3
tm119206,The Shawshank Redemption,MOVIE,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994,R,142,"['crime', 'drama']",tt0111161,9.3
ts20995,The Sopranos,SHOW,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",1999,TV-MA,55,"['drama', 'crime']",tt0141842,9.2
tm543828,Emergency Contact,MOVIE,Can 30-something Roxanna Biltmore handle the matters of her heart concerning her high school crush or will she try something new with Vince Cotton? Watch this woman go from NO emergency contacts to two.,2015,,54,['comedy'],tt5553238,9.2
ts20233,Rick and Morty,SHOW,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",2013,TV-MA,22,"['scifi', 'action', 'animation', 'comedy']",tt2861424,9.2
ts16786,Eyes on the Prize,SHOW,"The definitive story of the Civil Rights era from the point of view of the ordinary men and women whose extraordinary actions launched a movement that changed the fabric of American life, and embodied a struggle whose reverberation continue to be felt today.",1987,TV-PG,57,"['documentation', 'history']",tt0092999,9.2
ts2,Game of Thrones,SHOW,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",2011,TV-MA,58,"['scifi', 'action', 'drama', 'fantasy', 'romance']",tt0944947,9.2
